make_model,body_type,Body Color,km,hp,Gearing Type,Extras,price
Audi A1,Sedans,Black,69347,85,Manual,Others,13880
Audi A1,Compact,White,80120,85,Manual,Converter,13888
Audi A1,Sedans,Black,88483,85,Manual,Converter,13880
Audi A1,Sedans,White,51400,85,Manual,Others,13880
Audi A1,Sedans,White,63150,85,Manual,Others,13880
Audi A1,Sedans,Black,41961,85,Manual,Converter,13880
Audi A1,Sedans,Black,63608,85,Manual,Sport,13750
Audi A1,Compact,Blue,41515,85,Manual,Others,13750
Audi A1,Compact,Black,91500,85,Manual,Sport,13750
Audi A1,Compact,Black,62400,85,Manual,Others,13720
Audi A1,Sedans,Grey,37000,85,Manual,Sport,13700
Audi A1,Compact,Black,55850,85,Manual,Others,13710
Audi A1,Sedans,Violet,70000,85,Manual,Others,13700
Audi A1,Sedans,Violet,70000,85,Manual,Sport,13700
Audi A1,Sedans,Blue,62500,85,Manual,Others,13700
Audi A1,Compact,White,77000,85,Manual,Sport,13700
Audi A1,Sedans,Black,53000,85,Manual,Converter,13700
Audi A1,Sedans,Grey,39283,85,Manual,Sport,13700
Audi A1,Sedans,Black,56539,85,Manual,Converter,13700
Audi A1,Sedans,Grey,32894,85,Manual,Others,13690
Audi A1,Compact,White,100200,85,Manual,Sport,13685
Audi A1,Sedans,Black,15100,85,Manual,Others,13680
